company_code,news_id,sentiment_score,sentiment_level
GM,125,0.016203,Neutral
UAL,126,0.246356,Somewhat-Bullish
SBUX,126,0.061331,Neutral
GS,126,0.128452,Neutral
MMM,126,0.061331,Neutral
WMT,126,0.104328,Neutral
MMM,127,0.078252,Neutral
HON,127,0.174189,Somewhat-Bullish
MMM,128,0.268712,Somewhat-Bullish
GS,129,0.032200,Neutral
MMM,129,0.114687,Neutral
AMGN,129,0.048458,Neutral
IBM,129,0.024854,Neutral
SBUX,130,0.060236,Neutral
MS,130,0.222009,Somewhat-Bullish
GS,130,0.128307,Neutral
MMM,130,0.060236,Neutral
WMT,130,0.104217,Neutral
MMM,131,0.119433,Neutral
MMM,132,0.093149,Neutral
EMN,133,0.034128,Neutral
MMM,133,0.091479,Neutral
NFLX,134,0.042665,Neutral
AAPL,134,0.005360,Neutral
MS,134,-0.010662,Neutral
MMM,134,0.225747,Somewhat-Bullish
NDSN,134,0.210878,Somewhat-Bullish
WFC,134,0.089826,Neutral
STX,134,-0.010662,Neutral
SCHW,134,0.120080,Neutral
MMM,135,0.688677,Bullish
WFC,135,0.028963,Neutral
NFLX,136,0.427628,Bullish
HRL,136,0.313744,Somewhat-Bullish
NDSN,136,0.455256,Bullish
WFC,136,0.148302,Neutral
MMM,136,0.238233,Somewhat-Bullish
MMM,137,0.161637,Somewhat-Bullish
SCHW,137,0.125870,Neutral
WBD,138,-0.187517,Somewhat-Bearish
ABT,138,0.000000,Neutral
MMM,138,0.596664,Bullish
JNJ,138,0.000000,Neutral
PG,138,0.000000,Neutral
WBD,139,-0.187517,Somewhat-Bearish
ABT,139,0.000000,Neutral
MMM,139,0.596664,Bullish
JNJ,139,0.000000,Neutral
PG,139,0.000000,Neutral
NFLX,140,0.000000,Neutral
FITB,140,0.000000,Neutral
UAL,140,0.000000,Neutral
AAPL,140,-0.340540,Somewhat-Bearish
GM,140,0.142079,Neutral
PLD,140,0.000000,Neutral
SCHW,140,0.196066,Somewhat-Bullish
COF,140,0.000000,Neutral
IVZ,140,0.234483,Somewhat-Bullish
MMM,140,0.000000,Neutral
KEY,140,0.000000,Neutral
MMM,141,0.117642,Neutral
MMM,142,0.542118,Bullish
MMM,143,0.387375,Bullish
NFLX,144,0.088000,Neutral
UAL,144,0.088000,Neutral
VZ,144,0.088000,Neutral
JNJ,144,0.088000,Neutral
CSX,144,0.088000,Neutral
TXN,144,0.088000,Neutral
MMM,144,0.088000,Neutral
UNP,144,0.088000,Neutral
PG,144,0.088000,Neutral
AXP,144,0.214520,Somewhat-Bullish
